:outlook,$temperature,$humidity,:windy,play!
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
sunny,85,85,FALSE,no
overcast,64,65,TRUE,yes
